,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,gni
1367,Lao People's Democratic Republic,2008,71.66,231.6,34.2,50.1,21.81,22.24,4.56,11.6,4.76,9522948,5053.33,4700.0
1368,Lao People's Democratic Republic,2007,71.37,237.4,35.1,61.9,21.69,22.12,4.09,10.35,5.16,9402206,4676.08,4380.0
1369,Lao People's Democratic Republic,2006,71.17,244.4,35.8,59.6,21.58,22.0,3.99,8.67,5.66,9284168,4080.05,3590.0
1370,Lao People's Democratic Republic,2005,70.88,250.0,36.5,64.4,21.46,21.88,4.35,9.2,6.59,9164768,3903.82,3000.0
1371,Lao People's Democratic Republic,2004,70.33,256.4,37.3,70.9,21.35,21.77,4.29,6.72,6.3,9043127,2468.44,2520.0
1372,Lao People's Democratic Republic,2003,70.26,263.2,38.0,71.7,21.25,21.65,4.39,6.1,6.94,8919852,2399.5,2600.0
1373,Lao People's Democratic Republic,2002,69.92,270.3,38.8,68.5,21.14,21.54,4.99,10.6,6.78,8795101,3085.52,2850.0
1374,Lao People's Democratic Republic,2001,69.64,280.1,39.4,69.0,21.04,21.42,4.88,10.83,7.26,8669040,2953.25,2700.0
1375,Lao People's Democratic Republic,2000,69.42,286.5,40.0,72.6,20.94,21.31,4.88,11.77,6.43,8540791,2845.85,2650.0
1520,Malaysia,2015,75.09,140.0,4.0,3.6,25.29,26.18,3.82,8.23,3.1,31068833,9699.6,10350.0
1521,Malaysia,2014,75.15,133.1,3.7,3.5,25.19,26.06,3.71,7.82,2.88,30606459,11045.58,10840.0
1522,Malaysia,2013,75.04,131.5,3.7,3.5,25.08,25.93,3.51,6.82,3.16,30134807,10727.67,10590.0
1523,Malaysia,2012,74.94,130.3,3.7,3.5,24.97,25.81,3.46,6.54,3.1,29660212,10601.51,9980.0
1524,Malaysia,2011,74.75,132.8,3.8,3.6,24.87,25.68,3.31,6.52,3.05,29184133,10209.37,8890.0
1525,Malaysia,2010,74.44,134.1,3.9,3.6,24.76,25.55,3.16,6.31,3.39,28717731,8880.15,8130.0
1526,Malaysia,2009,74.23,134.0,3.9,3.7,24.65,25.43,3.26,5.87,3.66,28217204,7167.88,7500.0
