,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
508,Georgia,2003,70.33,160.9,18.7,9.8,26.08,26.37,8.03,7.13,11.51,3951736,1010.03,Lower-middel income
507,Georgia,2004,70.57,161.4,17.5,8.8,26.18,26.47,8.09,6.25,12.62,3927340,1305.05,Lower-middel income
506,Georgia,2005,71.13,154.2,16.3,7.9,26.29,26.58,8.08,5.58,13.81,3902469,1642.78,Lower-middel income
505,Georgia,2006,71.39,153.2,15.4,7.0,26.4,26.68,7.63,5.23,13.57,3880347,1996.02,Lower-middel income
504,Georgia,2007,71.57,148.2,14.3,6.2,26.51,26.79,7.44,3.95,13.28,3860158,2635.37,Lower-middel income
503,Georgia,2008,71.33,165.6,13.3,5.6,26.63,26.9,8.44,4.83,17.87,3848449,3324.75,Lower-middel income
502,Georgia,2009,71.95,165.6,12.4,5.2,26.76,27.02,9.57,5.88,20.71,3814419,2822.69,Lower-middel income
501,Georgia,2010,72.13,164.9,11.7,4.8,26.89,27.14,9.07,6.15,20.2,3786695,3281.73,Lower-middel income
500,Georgia,2011,72.39,159.6,11.0,4.4,27.02,27.26,8.01,5.04,19.63,3756441,4119.67,Lower-middel income
499,Georgia,2012,72.41,162.4,10.2,4.3,27.15,27.38,8.05,5.51,19.65,3728874,4530.7,Lower-middel income
498,Georgia,2013,72.63,161.0,9.4,4.1,27.28,27.5,7.88,6.85,19.42,3717668,4712.0,Lower-middel income
496,Georgia,2015,73.3,156.6,7.8,4.3,27.55,27.75,7.42,9.61,16.51,3725276,4086.62,Lower-middel income
510,Georgia,2001,69.61,137.5,21.0,12.8,25.9,26.18,7.17,6.75,11.16,4014373,801.98,Lower-middel income
511,Georgia,2000,69.58,135.3,21.9,14.1,25.81,26.09,7.19,4.85,10.82,4077131,749.91,Lower-middel income
115,India,2012,67.89,181.3,29.5,22.6,21.52,21.71,3.33,3.44,8.16,1274487215,1434.02,Lower-middel income
126,India,2001,63.09,217.9,43.5,44.3,20.76,20.87,4.26,2.9,8.04,1078970907,449.91,Lower-middel income
127,India,2000,62.67,222.3,45.1,45.6,20.68,20.78,4.03,3.05,7.86,1059633675,442.04,Lower-middel income
125,India,2002,63.62,212.5,42.0,41.7,20.83,20.95,4.24,2.77,8.25,1098313039,468.85,Lower-middel income
124,India,2003,64.09,206.2,40.8,40.3,20.91,21.03,4.01,2.68,8.4,1117415123,543.85,Lower-middel income
123,India,2004,64.52,200.6,39.4,39.0,20.98,21.11,3.96,2.65,8.55,1136264583,624.11,Lower-middel income
122,India,2005,65.0,197.3,38.0,35.8,21.05,21.19,3.79,2.94,8.7,1154638713,710.51,Lower-middel income
114,India,2013,68.46,179.3,28.3,20.9,21.59,21.78,3.75,3.24,8.09,1291132063,1438.06,Lower-middel income
112,India,2015,69.64,175.4,25.9,18.2,21.74,21.93,3.6,3.38,7.89,1322866505,1590.17,Lower-middel income
120,India,2007,65.79,191.9,35.5,32.2,21.18,21.34,3.52,2.79,8.53,1189691809,1022.73,Lower-middel income
119,India,2008,66.15,190.0,34.4,30.6,21.24,21.41,3.51,2.8,8.49,1206734806,993.5,Lower-middel income
118,India,2009,66.51,187.1,33.1,29.4,21.31,21.49,3.49,3.12,8.41,1223640160,1096.64,Lower-middel income
117,India,2010,66.91,185.6,31.8,26.6,21.38,21.56,3.27,3.11,8.32,1240613620,1350.63,Lower-middel income
116,India,2011,67.36,183.1,30.7,25.1,21.44,21.63,3.25,3.38,8.22,1257621191,1449.6,Lower-middel income
121,India,2006,65.41,194.2,36.8,34.9,21.11,21.26,3.63,2.89,8.61,1172373788,802.01,Lower-middel income
113,India,2014,69.07,176.5,27.2,19.7,21.66,21.86,3.62,3.25,7.99,1307246509,1559.86,Lower-middel income
298,Indonesia,2005,67.65,185.4,19.2,23.3,21.56,22.71,2.53,4.21,7.94,228805144,1249.4,Lower-middel income
300,Indonesia,2003,67.41,188.6,20.4,24.2,21.39,22.5,2.25,4.5,6.66,223080121,1052.41,Lower-middel income
299,Indonesia,2004,65.75,210.6,19.8,29.3,21.47,22.6,2.12,4.2,7.3,225938595,1136.76,Lower-middel income
301,Indonesia,2002,67.13,189.7,21.0,25.6,21.3,22.4,1.98,3.98,6.6,220115092,888.9,Lower-middel income
297,Indonesia,2006,67.91,184.1,18.6,22.8,21.65,22.81,2.62,4.51,7.55,231797427,1572.8,Lower-middel income
296,Indonesia,2007,68.19,181.8,18.3,19.4,21.74,22.91,2.82,5.44,8.06,234858289,1840.33,Lower-middel income
294,Indonesia,2009,68.49,178.5,17.1,17.4,21.92,23.12,2.62,5.41,6.11,240981299,2239.1,Lower-middel income
293,Indonesia,2010,68.68,176.2,16.2,16.7,22.01,23.23,2.79,3.91,5.61,244016173,3094.44,Lower-middel income
292,Indonesia,2011,68.82,173.1,15.7,16.6,22.1,23.34,2.99,3.96,5.15,247099697,3613.8,Lower-middel income
291,Indonesia,2012,68.97,170.1,14.9,15.2,22.2,23.46,2.91,4.07,4.47,250222695,3668.21,Lower-middel income
302,Indonesia,2001,66.76,190.8,21.7,27.6,21.22,22.3,2.12,3.96,6.08,217112437,739.0,Lower-middel income
290,Indonesia,2013,69.26,167.3,14.4,14.5,22.29,23.57,2.87,4.28,4.34,253275918,3602.89,Lower-middel income
