,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,gni
233,Bolivia (Plurinational State of),2006,64.78,160.7,26.1,30.7,24.35,26.6,4.66,8.75,2.58,9542663,1200.07,1090.0
231,Bolivia (Plurinational State of),2008,65.45,157.2,24.6,26.5,24.56,26.86,4.61,7.65,2.6,9880593,1687.58,1460.0
255,Brazil,2000,69.74,161.8,18.3,16.5,24.62,25.24,8.33,9.68,10.89,175873720,3726.81,3950.0
241,Brazil,2014,74.31,138.0,9.7,6.4,26.21,26.78,8.4,9.32,6.76,203459650,12071.4,12280.0
242,Brazil,2013,73.92,140.4,10.0,6.8,26.08,26.65,7.98,9.2,7.07,201721767,12258.57,12950.0
243,Brazil,2012,73.55,141.7,10.3,7.0,25.95,26.52,7.74,8.7,7.25,199977707,12327.51,12460.0
244,Brazil,2011,73.34,143.7,10.7,7.3,25.82,26.39,7.79,8.97,7.58,198185302,13200.56,11210.0
245,Brazil,2010,73.18,144.4,11.3,7.4,25.69,26.27,7.95,9.05,8.42,196353492,11249.29,9750.0
246,Brazil,2009,72.95,145.3,11.8,7.9,25.57,26.15,8.39,10.01,9.42,194517549,8569.9,8400.0
249,Brazil,2006,72.04,147.0,13.6,10.0,25.22,25.81,8.25,9.06,9.69,188820682,5866.02,4890.0
250,Brazil,2005,71.75,148.6,14.1,11.0,25.11,25.71,8.04,8.44,10.55,186797334,4773.27,4030.0
251,Brazil,2004,71.13,154.5,15.0,12.0,25.0,25.61,8.12,9.15,10.07,184722043,3623.22,3370.0
252,Brazil,2003,70.72,155.6,15.7,13.0,24.9,25.52,8.19,8.61,11.17,182629278,3056.65,3010.0
253,Brazil,2002,70.41,158.2,16.6,14.1,24.81,25.43,8.7,9.54,10.64,180476685,2824.72,3120.0
254,Brazil,2001,70.19,159.9,17.3,15.2,24.71,25.33,8.55,9.79,10.65,178211881,3142.24,3370.0
240,Brazil,2015,74.33,136.0,9.4,6.3,26.34,26.91,8.91,8.94,8.54,205188205,8783.22,10330.0
